,country,province,region_1,region_2,winery
21928,Australia,Western Australia,Frankland River,,Rocky Gully
21932,Portugal,Douro,,,Quinta do Noval
21939,Italy,Tuscany,Chianti Classico,,La Marcellina
21941,Italy,Tuscany,Chianti Classico,,Viticcio
21943,Australia,South Australia,Barossa Valley,,Butting Heads
21955,France,Provence,Côtes de Provence,,Château des Demoiselles
21966,US,California,California,California Other,Marilyn
21967,US,California,Lodi,Central Valley,McConnell Estates Winery
21972,US,California,Mount Veeder,Napa,Mayacamas
21991,France,Champagne,Champagne,,Lancelot-Pienne
21993,France,Champagne,Champagne,,Louis de Sacy
21995,Italy,Veneto,Valdobbiadene Prosecco Superiore,,Bortolin Angelo
21997,Spain,Levante,Jumilla,,Casa de la Ermita
21998,US,California,Napa Valley,Napa,Chardonnais
22003,France,Alsace,Crémant d'Alsace,,Domaine Rieflé-Landmann
22007,Spain,Northern Spain,Rioja,,Faustino Rivero Ulecia
22008,Italy,Veneto,Valdobbiadene Prosecco Superiore,,Foss Marai
22009,Australia,Tasmania,Tasmania,,Glaetzer-Dixon
22010,France,Champagne,Champagne,,J. M. Gobillard et Fils
22011,France,Champagne,Champagne,,Autréau de Champillon
22012,France,Champagne,Champagne,,Benoît Cocteaux
22014,Spain,Levante,Jumilla,,Barinas
22016,Spain,Central Spain,La Mancha,,Bodegas Cristo de la Vega
22019,US,Oregon,Chehalem Mountains,Willamette Valley,Catman
22021,France,Bordeaux,Bordeaux Blanc,,Château des Arras
22027,Hungary,Eger,,,Vincze Béla
22030,Italy,Northeastern Italy,Friuli Isonzo,,La Boatina
22032,US,California,Amador County,Sierra Foothills,Domenico
22033,Georgia,Georgia,,,Doqi
22039,Italy,Northeastern Italy,Venezia Giulia,,Attems
22050,Israel,Galilee,,,Jacques Capsouto
22051,France,Burgundy,Pouilly-Fuissé,,Verget
22052,Australia,South Australia,Adelaide Hills,,Vinaceous
22059,France,Burgundy,Saint-Véran,,Domaine Olivier Merlin
22065,France,France Other,Vin de France,,Les Alliés
22066,US,California,Mendocino County,,Enotria
22075,US,California,Howell Mountain,Napa,Red Thread Wines
22093,France,Southwest France,Cahors,,Château Bovila
22127,Italy,Piedmont,Barolo,,Inalto
22134,US,California,Napa Valley,Napa,Rose & Thistle
22136,US,California,Paso Robles,Central Coast,Sottomarino
22139,US,California,Santa Lucia Highlands,Central Coast,Tondré
22145,US,California,Paso Robles,Central Coast,Culton
22156,England,England,,,Chapel Down
22165,Italy,Tuscany,Toscana,,Falchini
22168,Italy,Tuscany,Toscana,,Il Colombaio di Santachiara
22171,Italy,Tuscany,Toscana,,La Lastra
22173,Italy,Tuscany,Toscana,,Podere la Marronaia
22182,Italy,Tuscany,Toscana,,Erik Banti
22185,Spain,Galicia,Rías Baixas,,El Bully
22187,Spain,Galicia,Rías Baixas,,Fernando Diéguez Otero
22190,US,California,Monterey,Central Coast,American Roots
22191,France,Bordeaux,Haut-Médoc,,Barons Edmund Benjamin de Rothschild
22196,US,Oregon,Willamette Valley,Willamette Valley,Domaine Meriwether
22201,US,California,Sonoma County,Sonoma,Big Ass
22202,France,Southwest France,Côtes du Frontonnais,,Château Bellevue la Forêt
22204,US,California,California,California Other,White Truck
22206,Austria,Wachau,,,Johann Donabaum
22211,Italy,Northeastern Italy,Friuli,,Plozner
22213,US,California,Russian River Valley,Sonoma,Sauvignon Republic
22217,Italy,Northeastern Italy,Colli Orientali del Friuli,,Perusini
22219,Spain,Northern Spain,Rioja,,R. de Ayala Lete E Hijos
22225,US,California,Sonoma County,Sonoma,Blackstone
22227,US,California,Paso Robles,Central Coast,Hearthstone
22228,US,California,Dry Creek Valley,Sonoma,Verge
22236,US,California,Paso Robles,Central Coast,Eagle Castle
22239,Chile,Curicó Valley,,,Pacifico Sur
22242,France,Southwest France,Gaillac,,L'Enclos des Braves
22243,France,Provence,Côtes de Provence,,Les Vins Bréban
22245,US,Oregon,Chehalem Mountains,Willamette Valley,Lundeen
22247,US,California,California,California Other,Meiomi
22248,Spain,Galicia,Rías Baixas,,Paco & Lola
22253,France,Provence,Côtes de Provence,,Château Barbeiranne
22259,France,Provence,Côtes de Provence,,Chateau Peyrassol
22262,US,California,Napa Valley,Napa,Clif Family
22264,US,California,Ventura County,Central Coast,Clos des Amis
22270,US,New York,North Fork of Long Island,Long Island,Southold
22274,US,California,Santa Barbara County,Central Coast,Cholame
22300,France,Bordeaux,Lalande de Pomerol,,Château des Arnauds
22301,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Glorit
22302,France,Bordeaux,Bordeaux Supérieur,,Château le Roudier
22312,Portugal,Douro,,,Van Zellers
22313,France,Champagne,Champagne,,Alfred Gratien
22318,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,Alta Pavina
22333,France,Burgundy,Santenay,,Château de la Crée
22334,France,Loire Valley,Vouvray,,Domaine de la Rouletière
22340,France,Languedoc-Roussillon,Faugères,,Abbaye Sylva Plana
22346,US,California,Santa Cruz Mountains,Central Coast,Heart O' The Mountain
22348,France,Languedoc-Roussillon,Faugères,,Mas Gabinèle
22352,Argentina,Mendoza Province,Mendoza,,Qaramy
22384,Spain,Northern Spain,Ribera del Duero,,Monteabellón
22387,Italy,Southern Italy,Costa d'Amalfi,,Marisa Cuomo
22388,Croatia,Istria,,,Piquentum
22393,US,California,Napa Valley,Napa,Silenus
22398,Serbia,Fruška Gora,,,Agrina
22399,Italy,Southern Italy,Terre del Volturno,,Alois
22403,France,Provence,Côtes de Provence,,Château Deffends
22404,US,Arizona,Cochise County,,Pillsbury
22409,Italy,Southern Italy,Irpinia,,I Capitani
22413,US,Washington,Wahluke Slope,Columbia Valley,Kyra
22415,Austria,Mittelburgenland,,,Gesellmann
22421,South Africa,Philadelphia,,,Capaia
22422,France,Southwest France,Cahors,,Château la Reyne
22444,Italy,Tuscany,Colli della Toscana Centrale,,Marchesi Gondi
22469,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Canteloup
22470,France,Bordeaux,Bordeaux,,Château Grand Picard
22471,France,Bordeaux,Médoc,,Château Laffitte Laujac
22472,France,Bordeaux,Côtes de Bordeaux,,Château Landonnet
22474,US,Idaho,,,Cinder
22477,US,California,Lodi,Central Valley,Frisk
22499,Germany,Pfalz,,,Weingut Ökonomierat Rebholz
22500,France,Burgundy,Aloxe-Corton,,Nicolas Potel
22503,US,California,Santa Lucia Highlands,Central Coast,Red Stitch
22514,Germany,Baden,,,Salwey
22526,France,Rhône Valley,Costières de Nîmes,,Mas Carlot
22527,US,California,Edna Valley,Central Coast,Morro View Winery
22530,France,Bordeaux,Bordeaux Supérieur,,Château Saincrit
22532,Italy,Lombardy,Franciacorta,,Lo Sparviere
22537,US,Oregon,Columbia Gorge (OR),Oregon Other,Roots
22540,England,England,,,Digby Fine English
22541,France,Beaujolais,Beaujolais-Villages,,Domaine André Collonge
22542,France,Alsace,Alsace,,Domaine de la Tour Blanche
22544,France,Alsace,Alsace,,Domaine Sipp-Mack
22551,France,Alsace,Alsace,,François Baur
22563,US,California,Napa Valley,Napa,Marilyn Merlot
22578,US,California,South Coast,,Malibu Rocky Oaks
22583,France,Beaujolais,Beaujolais,,Paul Durdilly
22591,US,New York,Finger Lakes,Finger Lakes,Brooklyn Oenology
22602,Italy,Southern Italy,Aglianico del Vulture,,Regio Cantina
22609,Italy,Sicily & Sardinia,Terre Siciliane,,Assuli
22614,France,Champagne,Champagne,,Jacques Picard
22615,Australia,South Australia,McLaren Vale,,Mollydooker
22616,Australia,South Australia,South Australia,,The Black Chook
22620,France,Champagne,Champagne,,Bruno Gobillard
22632,Spain,Northern Spain,Rioja,,Paco Garcia
22633,US,Oregon,Willamette Valley,Willamette Valley,Arbor Brook
22635,Italy,Central Italy,Umbria,,Argillae
22639,US,California,Anderson Valley,,Carpe Diem
22642,US,California,Santa Maria Valley,Central Coast,Highflyer
22649,US,California,Edna Valley,Central Coast,LaZarre
22650,Italy,Tuscany,Toscana,,Livernano
22656,Italy,Central Italy,Sagrantino di Montefalco,,Scacciadiavoli
22666,US,California,Dry Creek Valley,Sonoma,Flinch
22667,Germany,Rheinhessen,,,Fritz Müller
22673,Germany,Mosel,,,Max Ferd. Richter
22679,Germany,Franken,,,Rainer Sauer
22686,US,California,Mendocino County,,Sketchbook
22687,Slovakia,Muzla,,,Château Bela
22692,Italy,Veneto,Marca Trevigiana,,Collalbrigo
22700,US,California,Sonoma Valley,Sonoma,Grove Street
22701,US,Washington,Horse Heaven Hills,Columbia Valley,Hollywood Hill
22704,Italy,Northeastern Italy,Delle Venezie,,Montelvini
22709,France,Languedoc-Roussillon,Vin de Pays d'Oc,,Domaines Astruc
22712,US,California,Napa Valley,Napa,Decades5
22716,France,Champagne,Champagne,,Perrier Jouët
22720,US,California,Napa Valley,Napa,Tetra
22727,France,Champagne,Champagne,,Jacquesson et Fils
22734,US,Oregon,Rogue Valley,Southern Oregon,Weisinger's of Ashland
22737,Italy,Tuscany,Chianti Classico,,Triacca
22738,US,Oregon,Applegate Valley,Southern Oregon,Wooldridge Creek
22746,France,Loire Valley,Pouilly-Fumé,,Domaine Denis Gaudry
22747,New Zealand,Waipara,,,Chancellor Estates
22751,New Zealand,Marlborough,,,Red Hill (NZ)
22760,US,Oregon,Willamette Valley,Willamette Valley,Lion Valley
22761,US,Oregon,Rogue Valley,Southern Oregon,Ashland Vineyards
22763,Italy,Veneto,Soave Classico,,Tessari
22769,US,California,San Antonio Valley,Central Coast,Cima Collina
22771,Chile,Itata Valley,,,Clos des Fous
22773,France,Loire Valley,Muscadet Sèvre et Maine,,Domaine Clair Moreau
22775,Portugal,Alentejano,,,Herdade de Medeiros
22779,US,California,Ballard Canyon,Central Coast,Kaena
22782,Portugal,Vinho Verde,,,Luis Seabra
22789,France,Loire Valley,Muscadet Sèvre et Maine,,Bruno Cormerais
22793,Spain,Northern Spain,Rioja,,Launa
22797,Italy,Tuscany,Chianti Colli Aretini,,Paterna
22809,Italy,Tuscany,Chianti Classico,,Tenuta di Nozzole
22812,France,Champagne,Champagne,,Fluteau
22825,Italy,Veneto,Prosecco di Valdobbiadene,,Bortolin
22831,Italy,Veneto,Prosecco di Valdobbiadene,,Maschio dei Cavalieri
22833,US,California,Lodi,Central Valley,OZV
22844,Chile,Colchagua Valley,,,Pangea
22851,US,Oregon,Oregon,Oregon Other,Domaine J. Meuret
22875,South Africa,Simonsberg-Stellenbosch,,,Le Bonheur
22876,Spain,Galicia,Rías Baixas,,Lícia
22877,US,California,California,California Other,Ménage a Trois
22878,Spain,Galicia,Monterrei,,Pazo das Tapias
22883,Spain,Northern Spain,Ribera del Duero,,Felix Callejo
22888,US,California,Central Coast,Central Coast,Brass Tacks
22890,Spain,Northern Spain,Toro,,Valpiculata
22894,Italy,Piedmont,Roero,,Cascina Cà Rossa
22902,Austria,Wachau,,,Gritsch Mauritiushof
22903,US,California,Calaveras County,Sierra Foothills,Albeno Munari
22904,Chile,Central Valley,,,Asunto de Vino
22907,France,Champagne,Champagne,,Cheurlein-Panfilo
22917,Italy,Piedmont,Nebbiolo d'Alba,,Brjnda
22924,France,Provence,Bandol,,La Bastide Blanche
22934,US,California,Paso Robles,Central Coast,PharaohMoans
22937,France,Bordeaux,Bordeaux Blanc,,Chateau Haut Rian
22939,France,Bordeaux,Bordeaux,,Château Tour Chapoux
22946,US,Washington,Washington,Washington Other,Vino
22950,Italy,Central Italy,Montepulciano d'Abruzzo,,Nicodemi
22951,France,Bordeaux,Bordeaux Blanc,,Exem
22955,US,Oregon,Oregon,Oregon Other,Irvine Family Vineyards
22960,France,Bordeaux,Lalande de Pomerol,,Château de Chambrun
22963,Italy,Central Italy,Montepulciano d'Abruzzo,,Quattro Mani
22965,Portugal,Douro,,,Quinta da Pacheca
22966,Portugal,Douro,,,Quinta do Pessegueiro
22969,US,California,Happy Canyon of Santa Barbara,Central Coast,Star Lane Vineyard
22970,Hungary,Mátra,,,Szoke Matyás
22971,US,Oregon,Willamette Valley,Willamette Valley,TeBri Vineyards
22974,Italy,Southern Italy,Puglia,,Villa Schinosa
22977,US,California,Paso Robles,Central Coast,La Filice
22985,France,Champagne,Champagne,,Michel Moritz
22992,France,Languedoc-Roussillon,Pays d'Oc,,Laurent Miquel
23000,Argentina,Mendoza Province,Mendoza,,Familia Cassone
23003,Argentina,Mendoza Province,Tupungato,,Raffy
23023,Argentina,Mendoza Province,Mendoza,,Las Vertientes
23031,Spain,Levante,Valencia,,Casa L'Angel
23032,France,Beaujolais,Chénas,,Château des Jean-Loron
23038,Italy,Veneto,Valpolicella Superiore,,Dal Forno Romano
23045,Italy,Veneto,Valpolicella Classico Superiore,,Accordini Igino
23047,US,California,Napa Valley,Napa,Ankh
23052,US,Virginia,Virginia,,Zephaniah
23055,US,Washington,Yakima Valley,Columbia Valley,J Bell Cellars
23060,Australia,South Australia,McLaren Vale,,Shirvington
23074,France,France Other,Arbois,,Andre et Mireille Tissot
23086,Italy,Tuscany,Chianti Classico,,Cinciano
23089,US,Oregon,Dundee Hills,Willamette Valley,Vista Hills
23096,US,California,Diamond Mountain District,Napa,Lazy Susan Ranch
23102,US,California,North Coast,North Coast,Rack & Riddle
23108,Portugal,Portuguese Table Wine,,,Sousa Lopes
23110,Australia,Tasmania,Tasmania,,Ninth Island
23112,Italy,Piedmont,Barolo,,Pelassa
23126,Portugal,Dão,,,Caminhos Cruzados
23127,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Berthenon
23130,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Haut Sociondo
23132,France,Bordeaux,Blaye Côtes de Bordeaux,,Château La Roche Bazin
23133,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Magdeleine Bouhou
23135,France,France Other,Patrimonio,,Clos Alivu
23136,France,France Other,Arbois,,Domaine Dugois
23138,Argentina,Mendoza Province,Mendoza,,Siete Fincas
23141,US,California,North Coast,North Coast,Steelhead Vineyards
23145,Italy,Piedmont,Bramaterra,,Tenute Sella
23147,US,California,Santa Ynez Valley,Central Coast,Ibarra
23148,Italy,Piedmont,Barbaresco,,Icardi
23155,Italy,Piedmont,Barbaresco,,Livio Voghera
23165,Portugal,Dão,,,Quinta do Covão
23184,France,Rhône Valley,Côte Rôtie,,Domaine Jamet
23185,France,Rhône Valley,Châteauneuf-du-Pape,,Domaine Santa Duc
23192,Spain,Northern Spain,Rioja,,Benjamin de Rothschild & Vega Sicilia SA
23199,US,California,Russian River Valley,Sonoma,Hersly
23211,Australia,South Australia,McLaren Vale,,Thistledown
23212,Italy,Tuscany,Chianti Classico,,Fattoria di Valiano
23215,Italy,Tuscany,Chianti Classico,,Vecchie Terre di Montefili
23216,Italy,Tuscany,Brunello di Montalcino,,Voliero
23221,Italy,Tuscany,Chianti Classico,,Monteraponi
23222,Germany,Pfalz,,,Nauerth-Gnägy
23241,France,Provence,Côtes de Provence,,Domaine Val d'Astier
23246,Italy,Tuscany,Vino Nobile di Montepulciano,,Fanetti - Tenuta S. Agnese
23247,Italy,Tuscany,Toscana,,Fattoria San Felo
23250,Italy,Tuscany,Vino Nobile di Montepulciano,,Gracciano della Seta
23259,Italy,Italy Other,Italy,,Wine for Food
23266,US,California,Central Coast,Central Coast,Scott
23267,US,Washington,Columbia Valley (WA),Columbia Valley,Sonnet Cellars
23273,Argentina,Mendoza Province,Mendoza,,Familia Mayol
23274,US,California,Napa Valley,Napa,Grasso
23278,US,California,Sta. Rita Hills,Central Coast,Taz
23283,US,California,Alexander Valley,Sonoma,Stuhlmuller Vineyards
23284,Portugal,Douro,,,Symington Family Estates
23290,Portugal,Bairrada,,,Ataíde Semedo
23293,France,Loire Valley,Muscadet Côtes de Grandlieu,,Domaine de l'Aujardière
23314,France,Bordeaux,Francs Côtes de Bordeaux,,Vignobles Arno
23317,France,Champagne,Champagne,,Heidsieck & Co Monopole
23322,Italy,Piedmont,Moscato d'Asti,,Cascina Castlet
23328,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Grand Secret
23330,France,Bordeaux,Graves,,Château les Clauzots
23331,France,Bordeaux,Bordeaux Supérieur,,Château Montlau
23332,France,Bordeaux,Bordeaux,,Château Terres Douces
23334,France,Bordeaux,Bordeaux Supérieur,,Domaine de Courteillac
23337,Spain,Northern Spain,Campo de Borja,,Legado del Moncayo
23343,France,Bordeaux,Haut-Médoc,,Château Labat
23346,Italy,Tuscany,Brunello di Montalcino,,Col di Lamo
23349,US,California,Napa Valley,Napa,John Anthony
23354,Italy,Tuscany,Brunello di Montalcino,,Tenuta Oliveto
23355,US,California,St. Helena,Napa,Trivium
23363,New Zealand,Marlborough,,,Croney Estates
23369,US,Washington,Columbia Valley (WA),Columbia Valley,Chateau Ste. Michelle & Dr. Loosen
23370,US,California,Napa Valley,Napa,Coup de Foudre
23372,Spain,Northern Spain,Rioja,,Valsacro
23375,Spain,Northern Spain,Toro,,Pintia
23376,France,Rhône Valley,Ventoux,,Vindemio
23388,France,Languedoc-Roussillon,Faugères,,Cuvée Valentin Duc
23391,France,Languedoc-Roussillon,Faugères,,Domaine Saint Antonin
23394,US,California,Napa Valley,Napa,Jean Edwards
23401,Italy,Lombardy,Franciacorta,,Cà del Vént
23403,Italy,Lombardy,Franciacorta,,Castelveder
23414,US,Virginia,Virginia,,Rockgarden
23419,US,Virginia,Virginia,,Naked Mountain
23422,Portugal,Vinho Verde,,,Vidigal
23424,US,Virginia,Virginia,,North Gate
23426,US,Virginia,Virginia,,Virginia Mountain Vineyards
23427,US,California,El Dorado County,Sierra Foothills,Four Fields
23428,US,Virginia,Monticello,,Glass House
23432,Argentina,Mendoza Province,Mendoza,,Tres Exilios
23434,US,North Carolina,Yadkin Valley,,Jones von Drehle
23437,Argentina,Mendoza Province,Mendoza,,Terrenal
23443,Argentina,Other,San Juan,,Tour 52
23445,US,California,Paso Robles,Central Coast,Terry Hoage
23446,Italy,Piedmont,Barbera d'Alba,,Boroli
23454,Spain,Northern Spain,Rueda,,Mania
23455,Italy,Piedmont,Moscato d'Asti,,Neirano
23457,US,Virginia,Monticello,,Delfosse
23462,Italy,Piedmont,Langhe,,Pier
23471,France,Alsace,Alsace,,Cave Freudenreich
23483,Spain,Northern Spain,Rioja,,Teós
23493,US,California,Russian River Valley,Sonoma,The Decision
23495,Spain,Northern Spain,Ribera del Duero,,Comenge
23500,Australia,Victoria,Victoria,,McPherson Wine Company
23502,US,Oregon,Ribbon Ridge,Willamette Valley,Omero
23507,Italy,Tuscany,Bolgheri,,Serni Fulvio Luigi
23511,Italy,Tuscany,Brunello di Montalcino,,La Fornace
23517,US,Texas,Texas,,Duchman Family
23523,US,Washington,Columbia Valley (WA),Columbia Valley,Cavatappi
23525,US,California,Sonoma Coast,Sonoma,Agnitio
23527,France,Provence,Coteaux Varois en Provence,,Le Cercle des Vignerons Saint-Louis
23532,US,California,Sonoma Coast,Sonoma,Picayune
23538,US,Virginia,Virginia,,James Charles
23544,US,Texas,Texas High Plains,,Arché
23545,France,Languedoc-Roussillon,Vin de Pays d'Oc,,Domaine de Guiot
23546,France,Burgundy,Bourgogne Hautes Côtes de Beaune,,Domaine Jayer-Gilles
23548,Argentina,Mendoza Province,Mendoza,,Mariana
23559,France,Languedoc-Roussillon,Vin de Pays d'Oc,,Mas Belles Eaux
23561,Chile,Maule Valley,,,Portal Del Alto
23568,US,California,Napa Valley,Napa,C. Beck
23570,US,California,Napa Valley,Napa,Dominus
23586,France,Champagne,Champagne,,Henriot
23588,US,Washington,Columbia Valley (WA),Columbia Valley,Ardenvoir
23601,US,Oregon,Dundee Hills,Willamette Valley,Goodfellow
23624,France,Bordeaux,Lalande de Pomerol,,Château Tournefeuille
23631,US,New York,New York,New York Other,Benaddiction
23636,France,Bordeaux,Pessac-Léognan,,Château de Fieuzal
23643,France,Bordeaux,Haut-Médoc,,Château Trois Moulins
23646,US,Washington,Walla Walla Valley (WA),Columbia Valley,Cougar Crest
23652,US,California,Lodi,Central Valley,Markus Wine Co
23658,US,California,Paso Robles,Central Coast,Silver Horse
23661,Chile,Maule Valley,,,Meli
23673,Italy,Central Italy,Verdicchio dei Castelli di Jesi Classico Superiore,,Sartarelli
23674,Austria,Wiener Gemischter Satz,,,T.P.O.
23683,Italy,Central Italy,Verdicchio dei Castelli di Jesi Classico Superiore,,La Staffa
23684,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Lacaussade Saint-Martin
23688,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Terre Blanque
23691,Italy,Veneto,Bardolino,,Corte Fornello
23693,Portugal,Alentejano,,,Encostas de Estremoz
23697,France,Bordeaux,Bordeaux,,Grand Bateau
23702,US,Washington,Columbia Valley (WA),Columbia Valley,Longship
23704,US,Washington,Columbia Valley (WA),Columbia Valley,March
23722,US,Oregon,Willamette Valley,Willamette Valley,J. Wright
23732,France,Burgundy,Mâcon-Villages,,Jacques Charlet
23735,Argentina,Mendoza Province,Mendoza,,Los Haroldos
23756,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Gigault
23757,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Haut la Pointe
23758,France,Bordeaux,Castillon Côtes de Bordeaux,,Château Hyot
23759,Spain,Northern Spain,Rioja,,Criadores de Rioja
23760,US,California,Arroyo Grande Valley,Central Coast,De Paola Vineyard
23767,Italy,Tuscany,Brunello di Montalcino,,Cantina di Montalcino
23772,Italy,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Sanfeletto
23775,US,California,Santa Ynez Valley,Central Coast,Svago Buono
23784,Italy,Italy Other,Vino Spumante,,Bruno Giacosa
23789,US,Oregon,Southern Oregon,Southern Oregon,Leah Jørgensen Cellars
23794,France,Champagne,Champagne,,Jeeper
23795,Argentina,Mendoza Province,Mendoza,,Larrea
23798,France,Loire Valley,Sancerre,,Domaine Delaporte
23800,Italy,Northeastern Italy,Alto Adige,,Franz Gojer-Glögglhof
23802,US,Michigan,Leelanau Peninsula,,Gill's Pier
23812,US,California,Paso Robles Willow Creek District,Central Coast,TH
23815,Spain,Northern Spain,Rueda,,Campo Alegre
23819,France,Alsace,Alsace,,Domaine Moltès
23823,France,Alsace,Alsace,,Martin Schaetzel
23824,France,Loire Valley,Touraine,,Monmousseau
23836,US,California,Russian River Valley,Sonoma,Laguna
23840,US,California,Fiddletown,Sierra Foothills,Le Mulet Rouge
23842,Italy,Northeastern Italy,Collio,,Livon
23843,US,California,Central Coast,,Luna Hart
23850,New Zealand,Marlborough,,,Phantom Bay
23851,Spain,Andalucia,Málaga,,Finca la Melonera
23856,Italy,Veneto,Prosecco Treviso,,Giol
23877,US,California,California,California Other,Martella
23881,Argentina,Other,Argentina,,Aguijón De Abeja
23883,Brazil,Serra Gaúcha,,,Casa Perini
23894,Argentina,Mendoza Province,Mendoza,,Torrevieja
23904,US,California,Central Coast,Central Coast,Sand Dollar
23907,Italy,Central Italy,Romagna,,Caviro
23909,Argentina,Mendoza Province,Mendoza,,Hacienda del Plata
23911,Italy,Central Italy,Colli Bolognesi,,Gaggioli
23915,Mexico,Valle de Guadalupe,,,Vinicola Fraternidad
23916,US,California,California,California Other,Cottonwood Creek
23919,Portugal,Lisboa,,,Quinta de São Sebastião
23922,Italy,Central Italy,Lambrusco Reggiano,,Moro di Rinaldini
23933,Mexico,Valle de Guadalupe,,,Vinos Magbel
23935,Italy,Veneto,Veneto,,Cantine dei Colli Tramonte
23937,France,Bordeaux,Haut-Médoc,,Château Villegeorge
23941,France,Bordeaux,Pomerol,,Château La Grave à Pomerol
23942,France,Bordeaux,Moulis-en-Médoc,,Château Poujeaux
23946,France,Bordeaux,Saint-Émilion,,Château Haut-Simard
23948,France,Bordeaux,Haut-Médoc,,Château Larose-Trintaudon
23950,France,Bordeaux,Moulis-en-Médoc,,Château Maucaillou
23952,France,Bordeaux,Sauternes,,Château Romer
23954,France,Bordeaux,Lalande de Pomerol,,Château Bertineau Saint-Vincent
23956,France,Bordeaux,Haut-Médoc,,Château Cissac
23967,France,France Other,Château-Chalon,,Domaine Berthet-Bondet
23968,US,California,Sonoma Coast,Sonoma,Hartford Court
23969,Italy,Tuscany,Chianti Classico,,San Felice
24018,Spain,Galicia,Ribeiro,,Terra do Castelo
24019,US,New York,North Fork of Long Island,Long Island,The Old Field
24027,France,Bordeaux,Bordeaux,,Schröder & Schÿler
24030,US,New York,New York,New York Other,Thousand Islands Winery
24039,France,Bordeaux,Bordeaux Blanc,,Château Haut Mouleyre
24041,France,Bordeaux,Bordeaux Blanc,,Château Tour le Pin
24045,France,Loire Valley,Sancerre,,Domaine Michel Thomas et Fils
24047,US,Washington,Washington,Washington Other,Dusty Cellars
24052,US,California,Dry Creek Valley,Sonoma,Unti
24053,US,California,Carneros,Napa-Sonoma,Verotto
24056,Argentina,Mendoza Province,Mendoza,,Finca La Niña
24060,Argentina,Mendoza Province,Mendoza,,Alma de los Andes
24075,US,California,California,California Other,Tre
24076,Italy,Northeastern Italy,Delle Venezie,,Luna Nuda
24079,France,Rhône Valley,Costières de Nîmes,,Le Fervent
24081,South Africa,Olifants River,,,Alheit
24082,US,California,Russian River Valley,Sonoma,Kelleher
24083,South Africa,Stellenbosch,,,Lourensford
24093,US,California,Carneros,Napa-Sonoma,Fleur
24113,US,California,Yolo County,Central Valley,Rominger West
24114,US,California,Paso Robles,Central Coast,Cinquain
24116,Italy,Veneto,Veneto,,Gorgo
24118,Cyprus,Pitsilia Mountains,,,Tsiakkas
24121,Germany,Germany,,,Raumland
24136,Spain,Northern Spain,Cigales,,Traslanzas
24137,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,Bodegas Leda
24138,US,California,Santa Maria Valley,Central Coast,Bratcher
24153,Australia,South Australia,McLaren Vale,,Fox Creek
24162,US,Washington,Red Mountain,Columbia Valley,Archeus
24166,Portugal,Douro,,,Cap Wine
24170,Italy,Central Italy,Romagna,,Drei Donà
24185,Italy,Sicily & Sardinia,Passito di Pantelleria,,Abraxas
24197,Australia,Western Australia,Margaret River,,Juniper
24199,France,Burgundy,Petit Chablis,,Domaine Vincent Dauvissat
24204,New Zealand,Martinborough,,,Lagoon Hill
24212,New Zealand,East Coast,,,Tablelands
24215,Croatia,Istria,,,Trapan
24217,South Africa,Paarl,,,Avondale
24223,US,California,Napa Valley,Napa,Boyanci
24227,New Zealand,Wairau Valley,,,Wither Hills
24240,US,California,Central Coast,Central Coast,Fleur de California
24245,Italy,Piedmont,Moscato d'Asti,,Umberto Fiore
24248,Italy,Italy Other,Italy,,Martini & Rossi
24261,Spain,Catalonia,Priorat,,Bodegas La Cartuja
24271,US,California,Anderson Valley,,Jim Ball
24274,France,Rhône Valley,Côtes du Rhône,,Les Trois Couronnes
24277,Mexico,Valle de Guadalupe,,,Möebius
24282,Italy,Central Italy,Frascati Superiore,,Fontana Candida
24284,South Africa,Stellenbosch,,,Vinum Africa
24296,France,Southwest France,Côtes de Gascogne,,Haut Marin
24313,Greece,Santorini,,,Hatzidakis Winery
24316,Italy,Northeastern Italy,Friuli Grave,,Castellargo
24319,South Africa,Stellenbosch,,,Ernst Gouws & Co.
24327,South Africa,Stellenbosch,,,Post House
24338,France,Loire Valley,Pouilly-Fumé,,Ladoucette
24346,Italy,Tuscany,Carmignano,,Capezzana
24347,US,Oregon,Rogue Valley,Southern Oregon,Paschal
24351,Italy,Tuscany,Chianti Classico,,Le Miccine
24357,New Zealand,Marlborough,,,Bladen
24359,US,Oregon,Oregon,Oregon Other,Dundee Springs
24362,US,Oregon,Oregon,Oregon Other,Siskiyou Vineyards
24365,Italy,Tuscany,Toscana,,Elisabetta
24368,France,Provence,Côtes de Provence,,Domaines Duffort
24380,Portugal,Douro,,,Quinta da Sequeira
24382,US,Oregon,Oregon,Oregon Other,Highland Springs
24391,US,Oregon,Dundee Hills,Willamette Valley,Second Growth
